image,tp,fp,fn,predictions,ground_truth,visualization
data\traffic-signs\valid\images\SNAG12-RADU_745_png.rf.f5e2b22e95c3f4d93dda7ffc83855146.jpg,0,1,0,1,0,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG12-RADU_745_png.rf.f5e2b22e95c3f4d93dda7ffc83855146.jpg
data\traffic-signs\valid\images\SNAG12-RADU_746_png.rf.e287c0c36b55377bfe63ab88244ea393.jpg,0,1,0,1,0,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG12-RADU_746_png.rf.e287c0c36b55377bfe63ab88244ea393.jpg
data\traffic-signs\valid\images\SNAG12-RADU_747_png.rf.33eda5595e422352240b38136df5b318.jpg,3,0,0,3,3,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG12-RADU_747_png.rf.33eda5595e422352240b38136df5b318.jpg
data\traffic-signs\valid\images\SNAG12-RADU_748_png.rf.747692b7dbf1aa9e83b835e6678efd5d.jpg,1,1,0,2,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG12-RADU_748_png.rf.747692b7dbf1aa9e83b835e6678efd5d.jpg
data\traffic-signs\valid\images\SNAG12-RADU_749_png.rf.902a3454cffe8e9918a273b11973ae71.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG12-RADU_749_png.rf.902a3454cffe8e9918a273b11973ae71.jpg
data\traffic-signs\valid\images\SNAG12-RADU_74_png.rf.314f78d576aa41766c8225c028022f8b.jpg,4,0,0,4,4,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG12-RADU_74_png.rf.314f78d576aa41766c8225c028022f8b.jpg
data\traffic-signs\valid\images\SNAG12-RADU_750_png.rf.42f4451aa1540d116f795127702050fe.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG12-RADU_750_png.rf.42f4451aa1540d116f795127702050fe.jpg
data\traffic-signs\valid\images\SNAG12-RADU_751_png.rf.b6a40306c8dbea4c3e3d1d74783dfc2b.jpg,1,2,0,3,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG12-RADU_751_png.rf.b6a40306c8dbea4c3e3d1d74783dfc2b.jpg
data\traffic-signs\valid\images\SNAG12-RADU_752_png.rf.ff93a4910429fe15ec6db4a502276441.jpg,1,0,1,1,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG12-RADU_752_png.rf.ff93a4910429fe15ec6db4a502276441.jpg
data\traffic-signs\valid\images\SNAG12-RADU_753_png.rf.e09a2d387191b2665c8798ee6234a900.jpg,3,2,0,5,3,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG12-RADU_753_png.rf.e09a2d387191b2665c8798ee6234a900.jpg
data\traffic-signs\valid\images\SNAG12-RADU_754_png.rf.c9786981bf9a7210b9884fe0cf814bee.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG12-RADU_754_png.rf.c9786981bf9a7210b9884fe0cf814bee.jpg
data\traffic-signs\valid\images\SNAG12-RADU_755_png.rf.9faa0f72f5abf2d49b33dc91e6fd21bf.jpg,4,0,0,4,4,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG12-RADU_755_png.rf.9faa0f72f5abf2d49b33dc91e6fd21bf.jpg
