image,tp,fp,fn,predictions,ground_truth,visualization
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_85_png.rf.9371597a191428b3f590ac8e405ea7b6.jpg,1,3,0,4,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_85_png.rf.9371597a191428b3f590ac8e405ea7b6.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_88_png.rf.7075836fdab6053b1f01184108ef9c77.jpg,0,1,0,1,0,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_88_png.rf.7075836fdab6053b1f01184108ef9c77.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_97_png.rf.71c9530f859d0f7846c5aee78eba28a0.jpg,4,0,0,4,4,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_97_png.rf.71c9530f859d0f7846c5aee78eba28a0.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_9_png.rf.8a70e287b30237692f24518fce667975.jpg,0,3,0,3,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_9_png.rf.8a70e287b30237692f24518fce667975.jpg
data\traffic-signs\valid\images\PIC-00068-_png_jpg.rf.6457c1ab35da4c50732e7ca5b3d63c7c.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\PIC-00068-_png_jpg.rf.6457c1ab35da4c50732e7ca5b3d63c7c.jpg
data\traffic-signs\valid\images\PIC-00077-_png_jpg.rf.02ccb36b99191fce339673902c8d971b.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\PIC-00077-_png_jpg.rf.02ccb36b99191fce339673902c8d971b.jpg
data\traffic-signs\valid\images\PIC-00330-_png_jpg.rf.dd15a27fa7bf0efec7ab2732c9a260af.jpg,3,1,0,4,3,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\PIC-00330-_png_jpg.rf.dd15a27fa7bf0efec7ab2732c9a260af.jpg
data\traffic-signs\valid\images\PIC-00331-_png_jpg.rf.514aae8c5e96749829c9f6f7e46b7a68.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\PIC-00331-_png_jpg.rf.514aae8c5e96749829c9f6f7e46b7a68.jpg
data\traffic-signs\valid\images\PIC-00346-_png_jpg.rf.f549050a53d0977430d8559850bcb503.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\PIC-00346-_png_jpg.rf.f549050a53d0977430d8559850bcb503.jpg
data\traffic-signs\valid\images\PIC-00349-_png_jpg.rf.0e9f57706412383caa09f991a2a0b02d.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\PIC-00349-_png_jpg.rf.0e9f57706412383caa09f991a2a0b02d.jpg
data\traffic-signs\valid\images\PIC-00350-_png_jpg.rf.c63fbb1a2e6b923b1d5b65910e7b53ed.jpg,2,2,0,4,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\PIC-00350-_png_jpg.rf.c63fbb1a2e6b923b1d5b65910e7b53ed.jpg
data\traffic-signs\valid\images\PIC-00351-_png_jpg.rf.2136f0c286787d1fade24015ef7a9866.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\PIC-00351-_png_jpg.rf.2136f0c286787d1fade24015ef7a9866.jpg
data\traffic-signs\valid\images\PIC-00353-_png_jpg.rf.f08f4f7500694e7b4e5a12a5216348a8.jpg,1,1,0,2,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\PIC-00353-_png_jpg.rf.f08f4f7500694e7b4e5a12a5216348a8.jpg
data\traffic-signs\valid\images\PIC-00354-_png_jpg.rf.644480b84d2adfb52eca86663859d256.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\PIC-00354-_png_jpg.rf.644480b84d2adfb52eca86663859d256.jpg
